id,title,popularity,runtime,price,overview
013D,エンゼルコップ Enzeru Koppu ,125,180,7.99,"In the late twentieth century, the Secret Security Force was formed to stop the actions of the communist terrorist group known as the Red May. Angel, a beautiful, yet cold woman, has recently joined the small antiterrorist group. But her first mission will be a true test of skill, for members of the Red May are being found dead, murdered by gruesome methods. Who is causing these murders And why Written by Chuck DarkSide Williamson"
1E85,His Girl Friday ,149,92,7.99,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that shes engaged and will be getting remarried the next day. Walter cant let that happen and frames the fianc, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee."
8ED3,Living It Up ,126,95,7.99,"Homer Flagg Lewis is a railroad worker in the small town of Desert Hole, New Mexico. One day he finds an abandoned automobile at an old atomic proving ground. His doctor and best friend, Steve Harris Martin, diagnoses him with radiation poisoning and gives Homer three weeks to live. A reporter for a New York newspaper, hears of Homers plight and convinces her editor, to provide an allexpenses paid trip to New York."
6CF8,Empire of the Sun ,109,153,6.99,"Jamie Graham, a privileged English boy, is living in Shanghai when the Japanese invade and force all foreigners into prison camps. Jamie is captured with an American sailor named Basie, who looks out for him while they are in the camp together. Even though he is separated from his parents and in a hostile environment, Jamie maintains his dignity and youthful spirits, providing a beacon of hope for the others held captive with him."
09D8,The Big Sick ,110,120,7.99,"Pakistanborn comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his familys expectations, and his true feelings."
0140,Lucky ,131,90,7.99,"A documentary about the American lottery and some of the industrys biggest winners and losers. Qang is a Vietnamese refugee, whose American dream materializes in the form of 22 million while working the floors of a meatpacking factory James is a sheltered outcast living with his team of cats in a litter strewn bungalow, before chance pays him a multimillion dollar hand."
6CEB,Home Before Dark ,142,136,7.99,"A young woman returns home after being institutionalized in a mental hospital. Director Mervyn LeRoys 1958 drama stars Jean Simmons, Dan OHerlihy, Rhonda Fleming, Efrem Zimbalist Jr., Joanna Barnes, Mabel Albertson, Stephen Dunne, Marjorie Bennett, Kathryn Card, Joan Weldon and Eleanor Audley."
2313,Oceans ,118,84,6.99,"An ecological dramadocumentary, filmed throughout the globe. Part thriller, part meditation on the vanishing wonders of the subaquatic world."
62D5,The Maltese Falcon ,129,100,7.99,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
40F6,Pufnstuf ,92,94,7.99,"Jimmy Jack Wild ventures to Living Island with his magical, talking flute, Freddy. Once there, he befriends many of the islands inhabitants, but the evil Witchiepoo Billie Hayes is determined to steal Freddy the flute away from the boy to impress the visiting witches council and win the Witch of the Year Award."
1466,Slumdog Millionaire ,128,120,7.99,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of Who Wants to Be a Millionaire but, after he wins, he is suspected of cheating."
8ECE,The Gods Must Be Crazy ,97,109,6.99,"Misery is brought to a small group of Sho in the Kalahari desert in the form of a cola bottle. In his quest to throw the evil object over the edge of the earth, Xixo encounters Western civilization, a haphazard doctor and a tyranical despot."
6CED,Excalibur ,98,140,6.99,"The myth of King Arthur brought to the screen. Uthur Pendragon is given the mystical sword Excalibur by Merlyn. At his death Uthur buries the sword into a stone, and the next man that can pull it out will be King of England. Years later Arthur, Uthurs bastard son draws Excalibur and becomes king. Arthurs evil halfsister Morgana sires a son with him, who may prove his downfall."
2312,These Three ,130,93,6.99,"Karen and Martha, college roommates, graduate and face the future with no place and no money. Karen, however, has inherited a farmhouse from her grandmother, and gets the idea that she and Martha can turn it into a school for girls. They travel to the farmhouse, which turns out to be quite rundown, and all hope seems lost, until they meet Dr. Joe Cardin, who tells them not to give up, to take out a loan, fix up the farmhouse, and it will work out. All seems to go according to plan, until one student devises a scheme for revenge for being punished by the teachers. Unlike Lillian Hellmans The Childrens Hour, this film has a mostly happy ending and leaves out all references to lesbianism, making it a love triangle instead of a love chain."
1463,National Velvet ,146,123,6.99,"Mi Taylor was a young wanderer and opportunist whose father had given him all the roads in the Kingdom to travel. One of the roads, and a notation in his fathers journal, leads him to the quiet English countryside home of the Brown family. The youngest daughter, Velvet, has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse..."
0B51,Anvil! The Story of Anvil ,97,90,7.99,"At 14, best friends Robb Reiner and Lips made a pact to rock together forever. Their band, Anvil, hailed as the demigods of Canadian metal,  influenced a musical generation that includes Metallica, Slayer, and Anthrax,. Following a calamitous European tour, Lips and Robb, now in their fifties, set off to record their 13th album in one last attempt to fulfill their boyhood dreams"
4975,The War on Democracy ,111,96,7.99,"Set both in Latin America and the United States, the film explores the historic and current relationship of Washington with countries such as Venezuela, Bolivia and Chile. Pilger says that the film ...tells a universal story... analysing and revealing, through vivid testimony, the story of great power behind its venerable myths. It allows us to understand the true nature of the socalled war on terror. According to Pilger, the films message is that the greed and power of empire is not invincible and that people power is always the seed beneath the snow."
809E,The Valley of Gwangi ,129,96,7.99,"A turn of the century wild west show struggling to make a living in Mexico comes into the possession of a tiny prehistoric horse. This leads to an expedition to the Forbidden Valley where they discover living dinosaurs. They capture one and take it back to be put on display, leading to inevitable mayhem."
5825,The Visual Bible: The Gospel of John ,97,125,7.99,A word for word depiction of the life of Jesus Christ from the Good News Translation Bible as recorded in the Gospel of John.
2D49,The Wizard of Oz ,111,102,6.99,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them."
A2E3,To Sir  with Love,125,105,7.99,Idealistic engineertrainee and his experiences in teaching a group of rambunctious white high school students from the slums of Londons East End.
8EE3,Anuvahood ,117,88,6.99,"Kenneth who likes to call himself Kay begins to realise hes just another wannabe bad boy... even less than a loser in fact. After quitting his job at Laimsburys, Kay vows to become a respected gangster... or cry trying. A pullsnopunches, comingofage story, centering on one directionless hopeless shotter, who finds his true worth in the face of urban adversity."
09E0,Food Matters ,84,74,6.99,"With nutritionallydepleted foods, chemical additives and our tendency to rely upon pharmaceutical drugs to treat whats wrong with our malnourished bodies, its no wonder that modern society is getting sicker. Food Matters sets about uncovering the trillion dollar worldwide sickness industry and gives people some scientifically verifiable solutions for curing disease naturally."
498D,The Departed ,106,151,7.99,"To take down South Bostons Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover theres a mole among them."
450D,Begin Again ,120,104,6.99,"Grettas celebrity boyfriend breaks up with her after a longterm relationship, leaving the singer to find success on her own. With the help of record producer, Dan and hiphop celebrity, Trouble Gum, Gretta strives to fulfil her musical ambitions."
84C0,Grease ,103,110,6.99,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover theyre now in the same high school, will they be able to rekindle their romance despite their eccentric friends"
2D3A,The Abyss ,88,139,6.99,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the oceans surface where he confronts a mysterious force that has the power to change the world or destroy it."
014B,Scarlet Street ,123,103,7.99,A man in midlife crisis befriends a young woman after rescuing her from an attack. She believes he is rich and her boyfriend persuades her to con him out of his fortune.
5831,Reign Over Me ,92,124,6.99,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.
A2D8,My Sister's Keeper ,87,109,6.99,"Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden, heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girls life. The parents desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyones perceptions of love and loyalty and give new meaning to the definition of healing."
4986,Prayers for Bobby ,105,88,7.99,"True story of Mary Griffith, gay rights crusader, whose teenage son committed suicide due to her religious intolerance. Based on the book of the same title by Leroy Aarons."
4502,The Jungle Book ,85,78,6.99,"The boy Mowgli makes his way to the manvillage with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happygolucky bear Baloo, who teaches Mowgli The Bare Necessities of life and the true meaning of friendship."
09F3,Love & Mercy ,136,120,6.99,The life of reclusive and eccentric Beach Boys songwriter and musician Brian Wilson.
9DA1,The Color Purple ,130,154,7.99,"An epic tale spanning forty years in the life of Celie Whoopi Goldberg, an AfricanAmerican woman living in the South who survives incredible abuse and bigotry.  After Celies abusive father marries her off to the equally debasing Mister Albert Johnson Danny Glover, things go from bad to worse, leaving Celie to find companionship anywhere she can.  She perseveres, holding on to her dream of one day being reunited with her sister in Africa.  Based on the novel by Alice Walker."
0B79,The Big Heat ,124,89,7.99,"Dave Bannion is an upright cop on the trail of a vicious gang he suspects holds power over the police force. Bannion is tipped off after a colleagues suicide and his fellow officers suspicious silence lead him to believe that they are on the gangsters payroll. When a bomb meant for him kills his wife instead, Bannion becomes a furious force of vengeance and justice, aided along the way by the gangsters spurned girlfriend Debbie. As Bannion and Debbie fall further and further into the Ganglands insidious and brutal trap, they must use any means necessary including murder to get to the truth."
7BC1,Panic in the Streets ,88,96,6.99,"One night in the New Orleans slums, vicious hoodlum Blackie and his friends kill an illegal immigrant who won too much in a card game. Next morning, Dr. Clint Reed of the Public Health Service confirms the dead man had pneumonic plague. To prevent a catastrophic epidemic, Clint must find and inoculate the killers and their associates, with the reluctant aid of police captain Tom Warren, despite official skepticism, and in total secrecy, lest panic empty the city. Can a doctor turn detective He has 48 hours to try..."
